Immunization Status of School-Age Children in Illinois for School Year 2014-2015,,,,,,,,,,,,,,,,
Region-County-District-Type-School (RCDTS) ,District,Facility,,,,,,Polio,,,,,,,,
,,,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %
050160350021001,Glencoe SD 35,Central School,593,0,0,0,100.00%,577,12,3,1,0,0,577,16,97.30%
050160350022001,Glencoe SD 35,West School,263,0,0,0,100.00%,260,2,1,0,0,0,260,3,98.86%
050160350022002,Glencoe SD 35,South Elem School,342,0,0,0,100.00%,332,4,2,4,0,0,332,10,97.08%
050160360021005,Winnetka SD 36,Carleton W Washburne School,447,0,0,0,100.00%,447,0,0,0,0,0,447,0,100.00%
050160360022001,Winnetka SD 36,Crow Island Elem School,389,0,0,0,100.00%,383,6,0,0,0,0,383,6,98.46%
050160360022002,Winnetka SD 36,Greeley Elem School,270,0,0,0,100.00%,264,4,0,2,0,0,264,6,97.78%
050160360022003,Winnetka SD 36,Hubbard Woods Elem School,249,0,0,0,100.00%,249,0,0,0,0,0,249,0,100.00%
050160360022004,Winnetka SD 36,The Skokie School,443,0,0,0,100.00%,441,2,0,0,0,0,441,2,99.55%
050160370021001,Avoca SD 37,Marie Murphy School,280,2,1,2,98.93%,279,1,0,0,0,0,279,1,99.64%
050160370022003,Avoca SD 37,Avoca West Elem School,452,2,0,0,99.56%,450,2,0,0,0,0,450,2,99.56%
050160380022001,Kenilworth SD 38,The Joseph Sears School,506,0,0,0,100.00%,502,2,2,0,0,0,502,4,99.21%
050160390021008,Wilmette SD 39,Wilmette Junior High School,884,0,0,0,100.00%,881,3,0,0,0,0,881,3,99.66%
050160390022002,Wilmette SD 39,Central Elem School,502,0,0,0,100.00%,500,1,0,1,0,0,500,2,99.60%
050160390022003,Wilmette SD 39,Harper Elem School,427,1,0,1,99.77%,426,0,0,0,0,1,426,1,99.77%
050160390022005,Wilmette SD 39,McKenzie Elem School,507,0,0,0,100.00%,501,6,0,0,0,0,501,6,98.82%
050160390022006,Wilmette SD 39,Romona Elem School,509,4,0,4,99.21%,494,8,3,0,0,4,494,15,97.05%
050160390022007,Wilmette SD 39,Highcrest Middle School,840,1,0,1,99.88%,837,3,0,0,0,0,837,3,99.64%
05016049Y140000,Nonpublic School,Loyola Academy,"2,069",0,0,0,100.00%,"2,064",3,1,1,0,0,"2,064",5,99.76%
050160540041001,Schaumburg CCSD 54,Jane Addams JHS,643,1,0,1,99.84%,634,7,2,0,0,0,634,9,98.60%
050160540041012,Schaumburg CCSD 54,Robert Frost JHS,590,0,0,0,100.00%,584,4,2,0,0,0,584,6,98.98%
