Immunization School Survey Report 2004-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDT,Region,District,School,Total Sch. Enroll.,Total - NC,Unduplic.,Total Excluded,NC-PE Only,Polio Prot.,Polio Rel.,Polio Med.,Polio App. Sch.,Polio UP/NC,Polio Total,DTP Prot.,DTP-Rel.,DTP-Med.,DTP-AS,DTP-UP/NC,DTP-Total,Meas. Prot.,Meas. Rel.,Meas. Med.,Meas. AS,Meas. UP/NC,Meas. Total,Rubella Prot.,Rubella-Rel.,Rubella-Med.,Rubella-AS,Rubella-UP/NC,Rubella-Total,Mump Prot.,Mump Rel.,Mump Med.,Mump AS,Mump UP/NC,Mump Total,HepB Prot.,HepB Rel.,HepB Med.,HepB AS,HepB Excluded,HepB UP/NC,HepB Total,Hib Prot.,Hib Rel.,Hib Med.,Hib AS,Hib Excluded,Hib UP/NC,Hib Total,Cpox Prot.,Cpox Rel.,Cpox Med.,Cpox AS,Cpox UP/NC,Cpox Total,,,,
Totals Bond County,,,,"2,279",10,5,9,5,"2,268",5,0,3,3,"2,279","2,259",5,0,11,4,"2,279","2,263",5,5,3,3,"2,279","2,263",5,5,3,3,"2,279","2,263",5,5,3,3,"2,279","1,521",5,0,6,747,0,"1,532",174,0,0,2,"2,103",0,176,675,3,0,5,3,686,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04004001X06,04,001X,n/a,303,0,0,0,0,300,1,2,0,0,303,300,1,2,0,0,303,301,1,1,0,0,303,303,0,0,0,0,303,303,0,0,0,0,303,158,1,0,0,144,0,159,39,0,0,0,264,0,39,130,0,0,0,0,130,,,,
04004002X10,04,002X,n/a,158,2,2,0,0,158,0,0,0,0,158,158,0,0,0,0,158,158,0,0,0,0,158,158,0,0,0,0,158,158,0,0,0,0,158,34,0,0,0,124,0,34,21,0,0,0,137,0,21,71,0,0,0,2,73,,,,
04004100026,04,1000,1002,966,1,1,0,0,963,3,0,0,0,966,959,3,0,3,1,966,961,3,2,0,0,966,961,3,2,0,0,966,961,3,2,0,0,966,962,3,0,0,0,1,966,0,0,0,0,966,0,0,0,0,0,0,0,0,,,,
04004100026,04,1000,1003,941,0,0,2,0,940,1,0,0,0,941,940,1,0,0,0,941,939,1,1,0,0,941,939,1,1,0,0,941,939,1,1,0,0,941,932,4,0,5,0,0,941,0,0,0,0,941,0,0,0,0,0,0,0,0,,,,
04004100026,03,1000,2001,381,5,5,5,0,378,0,0,0,3,381,378,0,0,0,3,381,375,0,1,0,5,381,375,0,1,0,5,381,375,0,1,0,5,381,192,0,0,4,185,0,196,40,0,0,0,341,0,40,149,0,0,0,1,150,,,,
04004100026,04,1000,2003,812,0,0,0,0,804,5,2,1,0,812,803,5,3,1,0,812,804,6,2,0,0,812,808,3,1,0,0,812,808,3,1,0,0,812,136,0,0,3,663,0,139,10,0,0,0,802,0,10,149,0,0,0,0,149,,,,
04004100026,04,1000,2004,294,0,0,1,0,294,0,0,0,0,294,294,0,0,0,0,294,294,0,0,0,0,294,294,0,0,0,0,294,294,0,0,0,0,294,0,0,0,0,288,0,0,6,0,0,0,288,0,6,137,0,0,0,0,137,,,,
04004100026,04,1000,2005,701,5,0,5,5,697,3,0,1,0,701,696,3,1,1,0,701,696,3,1,1,0,701,697,3,1,0,0,701,697,3,1,0,0,701,114,1,0,7,574,0,122,5,0,0,0,696,0,5,345,2,0,0,0,347,,,,
04004100026,04,1000,2007,317,1,1,0,0,316,0,0,0,1,317,316,0,0,0,1,317,316,0,0,0,1,317,316,0,0,0,1,317,316,0,0,0,1,317,53,0,0,0,260,0,53,4,0,0,0,313,0,4,152,0,0,0,0,152,,,,
04004100026,04,1000,2008,"1,105",10,10,6,0,"1,093",1,0,1,10,"1,105","1,092",1,0,2,10,"1,105","1,092",1,1,1,10,"1,105","1,092",1,1,1,10,"1,105","1,092",1,1,1,10,"1,105",302,0,0,6,784,2,310,169,0,0,0,934,2,171,673,0,0,3,3,679,,,,
04004100026,04,1000,2009,670,0,0,0,0,669,1,0,0,0,670,669,1,0,0,0,670,667,1,0,2,0,670,670,0,0,0,0,670,670,0,0,0,0,670,136,0,0,1,530,0,137,3,0,0,0,667,0,3,301,0,0,1,0,302,,,,
04004200026,04,2000,1001,243,0,0,0,0,240,3,0,0,0,243,240,3,0,0,0,243,240,3,0,0,0,243,240,3,0,0,0,243,240,3,0,0,0,243,240,3,0,0,243,0,243,0,0,0,0,243,0,0,0,0,0,0,0,0,,,,
04004200026,04,2000,2002,193,0,0,0,0,190,3,0,0,0,193,190,3,0,0,0,193,190,3,0,0,0,193,190,3,0,0,0,193,190,3,0,0,0,193,0,0,0,0,193,0,0,0,0,0,0,193,0,0,107,3,0,0,0,110,,,,
