2009-2010 School Year Immunization Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDTS,Facility,RCDT,School,Enrollment,TotalNC,UnduplCount,NCPE,Excluded,PolioProt,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal
340491090021005,Alan B Shepard Middle School,34049109002,1005,526,5,2,3,3,518,2,0,3,3,526,518,2,0,3,3,526,518,2,0,3,3,526,518,2,0,3,3,526,518,2,0,3,3,526,518,2,0,3,3,526,0,0,0,0,0,0,333,2,0,3,3,341
150162990252850,Albany Park Multicultural Elem,15016299025,2850,270,9,7,2,2,267,3,0,0,0,270,263,7,0,0,0,270,270,0,0,0,0,270,270,0,0,0,0,270,270,0,0,0,0,270,266,3,1,0,0,270,0,0,0,0,0,0,134,0,1,0,0,135
130140630022001,Albers Elem School,13014063002,2001,205,1,0,1,0,202,1,0,1,1,205,202,1,0,1,1,205,202,1,0,1,1,205,202,1,0,1,1,205,202,1,0,1,1,205,115,1,0,0,0,116,39,1,0,0,0,40,180,1,0,1,1,183
410570070262012,Albert Cassens Elementary,41057007026,2012,498,1,0,1,0,498,0,0,0,0,498,498,0,0,0,0,498,498,0,0,0,0,498,498,0,0,0,0,498,498,0,0,0,0,498,174,0,0,0,1,175,0,0,0,0,0,0,498,0,0,0,0,498
140160540042026,Albert Einstein Elem School,14016054004,2026,512,2,0,2,2,509,0,3,0,0,512,507,0,4,0,1,512,508,0,3,1,0,512,508,0,3,1,0,512,508,0,3,1,0,512,213,0,4,1,1,219,95,0,0,0,0,95,509,0,2,1,0,512
200240010262001,Albion Grade School,20024001026,2001,485,0,0,0,0,480,0,0,4,1,485,480,0,0,4,1,485,475,0,0,9,1,485,475,0,0,9,1,485,475,0,0,9,1,485,216,0,0,1,0,217,26,0,0,1,0,27,433,0,0,4,0,437
150162990252053,Alcott Elem School,15016299025,2053,503,71,38,33,0,484,17,1,1,0,503,480,21,1,1,0,503,475,26,1,1,0,503,487,14,1,1,0,503,487,14,1,1,0,503,229,10,2,1,0,242,55,5,1,0,0,61,447,14,1,1,0,463
150162990250849,Alcott Humanities High School,15016299025,0849,83,3,1,2,0,83,0,0,0,0,83,82,1,0,0,0,83,83,0,0,0,0,83,83,0,0,0,0,83,83,0,0,0,0,83,82,0,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
14016744X160000,Alcuin Montessori School,14016744X16,0000,137,4,4,0,0,127,4,0,3,3,137,127,4,0,3,3,137,127,4,0,3,3,137,127,4,0,3,3,137,127,4,0,3,3,137,77,1,0,1,1,80,51,1,0,1,1,54,121,4,0,3,3,131
440630190242001,Alden Hebron Elem School,44063019024,2001,216,0,0,0,0,214,0,0,1,1,216,214,0,0,1,1,216,214,0,0,1,1,216,214,0,0,1,1,216,214,0,0,1,1,216,65,0,0,0,1,66,32,0,0,0,1,33,214,0,0,1,1,216
440630190240002,Alden-Hebron High School,44063019024,0002,136,0,0,0,0,135,0,0,1,0,136,135,0,0,1,0,136,135,0,0,1,0,136,135,0,0,1,0,136,135,0,0,1,0,136,135,0,0,1,0,136,0,0,0,0,0,0,0,0,0,0,0,0
440630190241001,Alden-Hebron Middle School,44063019024,1001,109,0,0,0,0,108,0,0,1,0,109,108,0,0,1,0,109,108,0,0,1,0,109,108,0,0,1,0,109,108,0,0,1,0,109,108,0,0,1,0,109,0,0,0,0,0,0,78,0,0,0,0,78
150162990252054,Aldridge Elem School,15016299025,2054,293,12,3,9,0,288,3,0,0,2,293,285,3,3,0,2,293,285,3,2,0,3,293,290,3,0,0,0,293,290,3,0,0,0,293,160,2,0,0,1,163,19,1,0,0,0,20,261,2,0,0,0,263
560991220021005,Alex M Martino Jr High School,56099122002,1005,649,0,0,0,0,647,0,0,2,0,649,647,0,0,2,0,649,647,0,0,2,0,649,647,0,0,2,0,649,647,0,0,2,0,649,647,0,0,2,0,649,0,0,0,0,0,0,322,0,0,1,0,323
460690010262004,Alexander Elem School,46069001026,2004,91,0,0,0,0,91,0,0,0,0,91,91,0,0,0,0,91,91,0,0,0,0,91,91,0,0,0,0,91,91,0,0,0,0,91,28,0,0,0,0,28,0,0,0,0,0,0,91,0,0,0,0,91
14016754X160000,Alexander Graham Bell Montessori,14016754X16,0000,67,1,1,0,0,63,0,0,4,0,67,63,0,0,4,0,67,63,0,0,4,0,67,63,0,0,4,0,67,63,0,0,4,0,67,37,0,0,0,0,37,37,0,0,0,0,37,62,1,0,4,0,67
310453000262001,Algonquin Lakes Elem Sch,31045300026,2001,597,0,0,0,0,589,0,1,7,0,597,585,0,4,8,0,597,589,0,1,7,0,597,589,0,1,7,0,597,589,0,1,7,0,597,101,0,1,1,0,103,0,0,0,0,0,0,588,0,1,8,0,597
140160620041001,Algonquin Middle School,14016062004,1001,695,3,0,3,0,691,0,0,0,4,695,691,0,0,0,4,695,693,0,0,0,2,695,695,0,0,0,0,695,695,0,0,0,0,695,694,0,0,0,1,695,0,0,0,0,0,0,475,0,0,0,0,475
310453000261004,Algonquin Middle School,31045300026,1004,552,0,0,0,0,551,0,0,0,1,552,551,0,0,0,1,552,552,0,0,0,0,552,552,0,0,0,0,552,552,0,0,0,0,552,551,0,0,0,1,552,0,0,0,0,0,0,367,0,0,0,0,367
140161630022001,Algonquin Primary Cntr,14016163002,2001,205,3,3,0,3,202,2,0,1,0,205,202,2,0,1,0,205,205,0,0,0,0,205,205,0,0,0,0,205,205,0,0,0,0,205,68,2,0,0,0,70,70,0,0,0,0,70,204,1,0,0,0,205
440630030032001,Algonquin Road Elem School,44063003003,2001,291,1,1,0,0,288,1,0,2,0,291,288,1,0,2,0,291,288,1,0,2,0,291,288,1,0,2,0,291,288,1,0,2,0,291,9,0,0,0,0,9,9,0,0,0,0,9,288,1,0,2,0,291
410570050262004,Alhambra Primary School,41057005026,2004,139,4,4,0,1,135,3,0,1,0,139,133,4,0,1,1,139,133,4,0,1,1,139,133,4,0,1,1,139,133,4,0,1,1,139,27,3,0,0,0,30,27,3,0,0,0,30,133,4,0,2,0,139
